control : 16.092250145241792 , a_p : 6.139060679078103 -0.1609393209218979
control : 12.622101667485063 , a_p : 5.8733573198318485 -0.5266426801681519
control : 12.748813638599081 , a_p : 4.387592077255249 -2.112407922744751
control : 6.092650881380198 , a_p : 5.676393067836763 -0.9236069321632385
control : 5.413942917319881 , a_p : 4.905885767936708 -1.7941142320632935
control : 4.466843722870033 , a_p : 5.766601252555848 -1.0333987474441528
control : 7.327134923002738 , a_p : 4.5782066822052006 -2.3217933177948
control : 2.712022828041805 , a_p : 6.23870849609375 -0.76129150390625
control : 0.2745857901022237 , a_p : 6.3543483376503005 -0.7456516623497009
control : 0.1793053112829579 , a_p : 7.197100504580886 -0.002899495419114828
control : 2.2251793884124975 , a_p : 6.506274569034577 -0.7937254309654236
control : -3.097124176058246 , a_p : 8.655790710449219 1.2557907104492188
control : -0.5830681800464532 , a_p : 7.983451843261719 0.48345184326171875
control : -4.222702958221642 , a_p : 10.395815467834474 2.7958154678344727
control : 0.7133996939003531 , a_p : 9.506191444396974 1.8061914443969727
control : 8.671548446509231 , a_p : 8.235904741287232 0.43590474128723145
control : 7.709453835174834 , a_p : 8.66057243347168 0.7605724334716797
control : 7.991972937504389 , a_p : 7.719579756259918 -0.2804202437400818
control : 6.808446174026496 , a_p : 7.856935656070711 -0.24306434392929077
control : 7.8783549307445355 , a_p : 6.914145421981811 -1.2858545780181885
control : 4.404825272839592 , a_p : 7.815823602676392 -0.4841763973236084
control : 5.605049811979658 , a_p : 6.686242604255678 -1.7137573957443237
control : 1.8678999073170814 , a_p : 8.025633215904236 -0.47436678409576416
control : 2.2509912221858954 , a_p : 7.253956174850465 -1.3460438251495361
control : 0.012319012251744255 , a_p : 8.423720669746398 -0.2762793302536011
control : 1.6174197782674398 , a_p : 7.590913105010987 -1.2090868949890137
control : -4.692516286881201 , a_p : 10.084720516204836 1.184720516204834
control : -2.110737593297948 , a_p : 9.17067764699459 0.17067764699459076
