control : -0.6932322663481614 , a_p : 9.53656221330166 0.13656221330165863
control : 0.03141654397416893 , a_p : 10.141854524612427 0.6418545246124268
control : 1.0819329918328275 , a_p : 9.664368136227132 0.06436813622713089
control : 1.8104122158846856 , a_p : 9.883525383472442 0.18352538347244263
control : 1.4826334505520933 , a_p : 9.87587168365717 0.07587168365716934
control : 1.028156618501633 , a_p : 10.00686692595482 0.10686692595481873
control : 1.7284322938339045 , a_p : 9.696043610572815 -0.30395638942718506
control : 2.0887588999400997 , a_p : 9.569354391098024 -0.5306456089019775
control : 0.35687380705753213 , a_p : 10.247612015157937 0.047612015157938004
control : 0.16027113863130538 , a_p : 9.829152840375901 -0.47084715962409973
control : 0.0013483955924336044 , a_p : 9.960646474361422 -0.4393535256385803
control : -2.102015668131841 , a_p : 10.48417511768639 -0.015824882313609123
control : -2.8237052880036764 , a_p : 10.568549948185684 -0.0314500518143177
control : -2.8457877957918747 , a_p : 11.010141950845718 0.3101419508457184
control : -1.6200617266469344 , a_p : 10.649500074982644 -0.15049992501735687
control : -2.6491553390876597 , a_p : 11.933806920051577 1.0338069200515747
control : 0.0020565969926202854 , a_p : 10.789263516664505 -0.210736483335495
control : 2.561317191240896 , a_p : 10.77579746246338 -0.3242025375366211
control : 1.523083567082896 , a_p : 11.094832223653796 -0.10516777634620667
control : 0.7459867014338464 , a_p : 11.105407017469407 -0.19459298253059387
control : 0.03348177270294883 , a_p : 11.68781980276108 0.2878198027610779
control : 0.5007565933422207 , a_p : 11.581307671964169 0.08130767196416855
control : 0.5072526425063479 , a_p : 11.85262799859047 0.25262799859046936
control : 0.69720280809819 , a_p : 11.740972381830218 0.040972381830215454
control : -0.16822970772487267 , a_p : 12.441586542129517 0.6415865421295166
control : 1.390852597262576 , a_p : 11.529251003265383 -0.37074899673461914
control : 1.9791038533674978 , a_p : 11.583003908395767 -0.4169960916042328
control : 1.0905264084259372 , a_p : 11.529603874683382 -0.5703961253166199
control : -0.661165446662821 , a_p : 12.258691363781693 0.0586913637816906
control : -1.2092341008268264 , a_p : 12.197651694715024 -0.10234830528497696
control : -0.5253771725207095 , a_p : 11.812178277969362 -0.5878217220306396
control : -2.5184707709542167 , a_p : 12.7832071185112 0.28320711851119995
control : -2.742472929176415 , a_p : 12.642573016136886 0.04257301613688469
control : -0.7985163806849087 , a_p : 12.49182727634907 -0.2081727236509323
control : -1.344884635560934 , a_p : 13.15374853014946 0.35374853014945984
control : -1.0828677495180727 , a_p : 13.300606811046602 0.40060681104660034
control : -0.4403584644024683 , a_p : 13.592034757137299 0.5920347571372986
control : 0.5882988301684549 , a_p : 13.45546162724495 0.35546162724494934
control : 1.4485840487797255 , a_p : 13.598491978645328 0.3984919786453247
control : 2.9251025267487556 , a_p : 13.130419644713403 -0.1695803552865982
control : 3.1474857076259717 , a_p : 12.954305195808413 -0.44569480419158936
control : 1.5399427563680952 , a_p : 13.553433522582054 0.05343352258205414
control : 1.5043124556417773 , a_p : 13.377433887124063 -0.22256611287593842
control : 1.1015276992423786 , a_p : 13.80101764649153 0.10101764649152756
control : 0.6568405813383968 , a_p : 14.178334939479829 0.3783349394798279
control : 1.1302157738975964 , a_p : 13.618120932579043 -0.2818790674209595
control : 1.954438365657989 , a_p : 13.554170072078705 -0.44582992792129517
control : 0.33068330581921046 , a_p : 13.841692036390306 -0.25830796360969543
control : -0.3123853455255343 , a_p : 13.864283066987994 -0.33571693301200867
control : -1.1186186566401979 , a_p : 14.130092445015908 -0.1699075549840927
control : -2.26747698829082 , a_p : 14.288611122965815 -0.11138887703418732
